UUID,putaway zone,volume
A000749,OPT-AAA-01-04,2.584
A000750,OPT-C-01-04,2.584
A000751,OPT-C-01-04,3.99
A000752,OPT-AAA-01-04,3.99
A000753,OPT-C-01-04,1.014
A000754,OPT-C-01-04,20.4
A000755,OPT-AAA-01-04,3.23
A000756,OPT-C-01-04,5.324
A000757,OPT-B-01-04,6.6
A000758,OPT-AAA-01-04,10.206
A000759,OPT-C-01-04,14.04
A000760,OPT-AAA-01-04,14.58
A000761,OPT-C-01-04,33.948
A000762,OPT-AAA-01-04,1.568
A000763,OPT-AAAA-01-04,3.4
A000764,OPT-AAAA-01-04,3.6
A000765,OPT-AAAA-01-04,6.912
A000766,OPT-AAAA-01-04,10.206
A000767,OPT-B-01-04,14.4
A000768,OPT-C-01-04,19.652
A000769,OPT-C-01-04,1.176
A000770,OPT-AAA-01-04,2.268
A000771,OPT-C-01-04,0.6
A000772,OPT-C-01-04,1.615
A000773,OPT-AAAA-01-04,2.508
A000774,OPT-C-01-04,5.184
A000775,OPT-B-01-04,26.136
A000776,OPT-C-01-04,61.952
A000777,OPT-C-01-04,69.3
A000778,OPT-C-01-04,141.61
