location,fetch_tool,horizontal_movement_time,vertical_movement_time,remove_from_shelf_time
082705,ORDER_PICKER,21.114951923076923,9.733054907367114,26.59
090339,ORDER_PICKER,18.486586538461538,38.54151982092603,20.33
090415,ORDER_PICKER,9.430336538461537,26.59725035463041,27.67
090615,ORDER_PICKER,9.653028846153845,24.898479614051553,31.19
091411,ORDER_PICKER,13.783798076923077,23.758777672051433,15.34
092107,ORDER_PICKER,17.91456730769231,12.918663871924524,26.01
100211,ORDER_PICKER,9.760432692307694,25.50640535478329,11.08
100303,ORDER_PICKER,10.293125000000002,5.518983324006814,21.33
101103,ORDER_PICKER,13.383894230769233,7.006358096167265,16.15
101309,ORDER_PICKER,20.94658653846154,15.019179652675192,28.15
101607,ORDER_PICKER,14.099278846153851,12.822953482138141,26.53
102205,ORDER_PICKER,17.617355769230777,9.807895512758023,28.45
102507,ORDER_PICKER,22.172740384615388,15.091659310498011,21.5
102705,ORDER_PICKER,21.605432692307694,8.351107148965394,35.83
110609,ORDER_PICKER,14.478125000000002,13.672928241763442,35.66
110713,ORDER_PICKER,16.080817307692307,32.9790719313828,11.41
110903,ORDER_PICKER,17.853509615384617,4.710605647918391,34.47
112913,ORDER_PICKER,25.700432692307693,20.340285828397896,41.29
600511,ORDER_PICKER,18.560048076923078,23.95712306340651,24.41
400205,REACH_FORK,15.533473214285713,4.932188499831172,14.08
400403,REACH_FORK,10.628205357142857,2.075507518878075,28.67
400405,REACH_FORK,13.798205357142857,4.614680587871999,26.24
400603,REACH_FORK,13.6829375,2.273306025115886,20.34
400605,REACH_FORK,12.6029375,4.942470367895144,11.96
400803,REACH_FORK,16.38766964285714,2.1147349449230415,28.94
400805,REACH_FORK,14.897669642857142,4.347099361224238,27.67
401003,REACH_FORK,17.822401785714284,2.2762052448254355,23.62
401203,REACH_FORK,13.637133928571426,2.11857015674795,26.62
401205,REACH_FORK,18.10713392857143,4.9139524483289225,12.27
401405,REACH_FORK,18.05186607142857,4.344756801733258,31.55
401603,REACH_FORK,17.956598214285712,2.1811518531715612,28.76
401605,REACH_FORK,14.986598214285713,4.61632921807914,22.5
402003,REACH_FORK,18.4560625,2.201499593563731,26.79
402005,REACH_FORK,15.9660625,4.327493784744178,31.19
402203,REACH_FORK,15.550794642857142,2.089500888246951,30.66
402205,REACH_FORK,25.850794642857142,4.416355796605821,33.3
402403,REACH_FORK,22.035526785714286,2.168834305738498,29.0
402603,REACH_FORK,24.220258928571425,2.1769118913281416,20.87
402605,REACH_FORK,19.960258928571427,4.392726538273413,31.42
500103,REACH_FORK,15.620973214285716,2.1561689038244025,26.28
500303,REACH_FORK,16.23570535714286,2.098000428495506,34.25
500403,REACH_FORK,16.117178571428575,2.2307368063087787,20.04
500503,REACH_FORK,15.5204375,2.580138695827127,5.63
500603,REACH_FORK,15.182892857142857,2.0541323018361557,28.09
500703,REACH_FORK,12.155169642857144,1.9244536849648313,39.6
500803,REACH_FORK,17.438607142857144,2.12877709268777,24.18
500805,REACH_FORK,17.088607142857143,4.5912397932848075,25.64
501003,REACH_FORK,19.07432142857143,2.206315005366324,27.07
501103,REACH_FORK,16.83463392857143,2.2038989625578167,26.13
501203,REACH_FORK,20.930035714285715,2.185122394503038,27.78
501303,REACH_FORK,17.109366071428575,2.352469690738634,15.57
501403,REACH_FORK,15.825750000000003,2.260557613354693,24.84
501603,REACH_FORK,20.691464285714286,2.3328709315100618,17.31
501703,REACH_FORK,18.298830357142858,2.154005330016691,29.98
501705,REACH_FORK,16.788830357142857,4.648686991638186,24.19
501903,REACH_FORK,20.0535625,2.1218279240304665,24.9
502003,REACH_FORK,21.66289285714286,2.2116488779511894,19.56
502103,REACH_FORK,20.898294642857145,2.0604797687669607,27.09
502105,REACH_FORK,21.388294642857144,4.502411407915661,22.16
502303,REACH_FORK,28.933026785714286,1.9240601253101048,39.92
502403,REACH_FORK,23.09432142857143,2.481629018485534,7.86
502603,REACH_FORK,25.110035714285722,2.279672381717947,15.75
600103,REACH_FORK,11.54575,2.070823722455688,33.86
600205,REACH_FORK,16.05575,4.317713390077762,41.65
600303,REACH_FORK,17.501464285714285,2.222029614962079,25.73
600403,REACH_FORK,15.311464285714285,2.617855056586993,24.83
600703,REACH_FORK,15.642892857142858,2.218885334607896,22.92
600803,REACH_FORK,18.082892857142856,2.423339233808333,34.1
600903,REACH_FORK,17.378607142857142,2.2274986167801814,22.73
601005,REACH_FORK,16.838607142857143,4.796142987887191,32.79
601103,REACH_FORK,20.844321428571426,2.2321146139032084,21.79
601203,REACH_FORK,21.204321428571426,2.851819219782026,20.14
601303,REACH_FORK,19.870035714285716,2.145456071219665,22.57
601403,REACH_FORK,18.420035714285717,2.544963319189614,31.26
601703,REACH_FORK,21.591464285714288,2.0239138861508303,30.31
601803,REACH_FORK,22.201464285714287,2.6432461674552754,25.41
601903,REACH_FORK,22.467178571428573,2.27529245276163,15.78
602003,REACH_FORK,18.467178571428573,2.535809081287389,29.33
602203,REACH_FORK,21.26289285714286,2.586089520534996,21.72
602303,REACH_FORK,23.258607142857144,2.1497893258170087,31.48
602403,REACH_FORK,23.768607142857142,2.6370501164958804,28.54
602503,REACH_FORK,25.07432142857143,2.0395867981999087,36.08
602505,REACH_FORK,24.68432142857143,4.459515103175568,31.74
