uuid,location,quantity
A006162,012820,2.0
A012780,012820,2.0
A013350,012820,1.0
A016230,012820,3.0
A016233,012820,4.0
A017462,012820,1.0
A017644,012820,2.0
A018216,012820,1.0
A018375,012820,1.0
A018451,012820,1.0
A018689,012820,4.0
A018852,012820,4.0
A019506,012820,6.0
A020167,012820,3.0
A020189,012820,7.0
A020193,012820,2.0
A020199,012820,2.0
A020296,012820,1.0
A020297,012820,1.0
A020316,012820,4.0
A020346,012820,4.0
A020585,012820,2.0
A020668,012820,2.0
A020750,012820,3.0
A021458,012820,1.0
A021675,012820,4.0
A022072,012820,3.0
A022244,012820,2.0
A024214,012820,5.0
A024568,012820,2.0
A025038,012820,1.0
A025715,012820,2.0
A026911,012820,6.0
A029024,012820,2.0
A000185,020108,2.0
A001630,020108,20.0
A002087,020108,1.0
A002595,020108,49.0
A003815,020108,1.0
A005001,020108,1.0
A007971,020108,1.0
A014017,020108,2.0
A030043,020108,3.0
A000188,022401,1.0
A017274,022401,1.0
A025278,022401,4.0
A000190,010109,2.0
A000983,010109,5.0
A027247,010109,3.0
A000191,042001,65.0
A014627,042001,718.0
A000192,020509,30.0
A002449,020509,3.0
A004463,020509,1.0
A004974,020509,16.0
A008949,020509,1.0
A014286,020509,7.0
A017393,020509,3.0
A022989,020509,4.0
A024227,020509,2.0
A028841,020509,2.0
A000194,020101,2.0
A000553,020101,26.0
A000792,020101,6.0
A016853,020101,2.0
A019615,020101,3.0
A020277,020101,11.0
A021265,020101,36.0
A026673,020101,1.0
A029722,020101,1.0
A029923,020101,3.0
A030039,020101,10.0
A000198,021005,5.0
A004489,021005,18.0
A012181,021005,1.0
A015388,021005,7.0
A018961,021005,2.0
A024783,021005,3.0
A025329,021005,1.0
A000203,011710,25.0
A015938,011710,1.0
A016596,011710,2.0
A022358,011710,2.0
A024772,011710,4.0
A026393,011710,1.0
A030338,011710,10.0
A000207,032518,9.0
A002803,032518,2.0
A010479,032518,1.0
A021952,032518,2.0
A000208,011511,47.0
A000250,011511,8.0
A000258,011511,13.0
A000336,011511,4.0
A000776,011511,20.0
A001313,011511,3.0
A001460,011511,20.0
A002912,011511,1.0
A003266,011511,2.0
A003827,011511,1.0
A003837,011511,5.0
A004412,011511,33.0
A005050,011511,2.0
A008871,011511,20.0
A008886,011511,1.0
A008977,011511,1.0
A009482,011511,1.0
A009483,011511,3.0
A012244,011511,3.0
A012341,011511,1.0
A013276,011511,57.0
A013279,011511,145.0
A013314,011511,1.0
A013319,011511,1.0
A013365,011511,2.0
A013382,011511,6.0
A013797,011511,1.0
A014419,011511,6.0
A014851,011511,2.0
A015765,011511,1.0
A016467,011511,9.0
A016948,011511,23.0
A017476,011511,2.0
A017488,011511,4.0
A018286,011511,1.0
A019112,011511,2.0
A019116,011511,1.0
A019384,011511,2.0
A019385,011511,2.0
A019427,011511,2.0
A019430,011511,2.0
A019435,011511,2.0
A022076,011511,2.0
A024429,011511,23.0
A026311,011511,4.0
A026515,011511,2.0
A026520,011511,4.0
