location,aisle,x_length,y_width,z_height,heightfromfloor,cell_attractiveness,distance_from_io_to_aisle,fetch_tool,putaway_zone,fetch_zone,cell_volume,available_volume,percent_full
021401,2,16.575000000000003,-21.9875,0.0,0.25,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.39015,0.39015,1.0
021403,2,16.575000000000003,-21.9875,0.0,0.55,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.325125,0.325125,1.0
021404,2,16.575000000000003,-21.9875,0.0,0.8499999999999999,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.325125,0.325125,1.0
021405,2,16.575000000000003,-21.9875,0.0,1.15,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.325125,0.325125,1.0
021406,2,16.575000000000003,-21.9875,0.0,1.45,0.0205920205920205,31.9875,PALLET_JACK,OPT-A-01-04,OPT01-04-LOW,0.325125,0.325125,1.0
021407,2,16.575000000000003,-21.9875,2.1,2.1,0.0004690459020045,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.845325,0.845325,1.0
021409,2,16.575000000000003,-21.9875,2.75,2.75,0.0003594552455753,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.845325,0.845325,1.0
021410,2,16.575000000000003,-21.9875,3.2,3.2,0.0003094071372491,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.4876875,0.4799355,0.9841045751633988
021411,2,16.575000000000003,-21.9875,3.65,3.65,0.0002715924483719,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.4876875,0.4876875,1.0
021412,2,16.575000000000003,-21.9875,4.0,4.0,0.0002480166419166,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3793125,1.0
021413,2,16.575000000000003,-21.9875,4.35,4.35,0.0002282069494721,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3793125,1.0
021414,2,16.575000000000003,-21.9875,4.699999999999999,4.699999999999999,0.000211327692645,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3793125,1.0
021415,2,16.575000000000003,-21.9875,5.049999999999999,5.049999999999999,0.0001967734080416,31.9875,ORDER_PICKER,OPT-B-01-04,OPT02,0.3793125,0.3793125,1.0
021416,2,16.575000000000003,-21.9875,5.399999999999999,5.399999999999999,0.0001840946798938,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021417,2,16.575000000000003,-21.9875,5.749999999999998,5.749999999999998,0.000172950910046,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021418,2,16.575000000000003,-21.9875,6.099999999999998,6.099999999999998,0.0001630792626371,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021419,2,16.575000000000003,-21.9875,6.4499999999999975,6.4499999999999975,0.0001542736699199,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021420,2,16.575000000000003,-21.9875,6.799999999999997,6.799999999999997,0.0001463702912219,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021421,2,16.575000000000003,-21.9875,7.149999999999997,7.149999999999997,0.0001392372236793,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021422,2,16.575000000000003,-21.9875,7.4999999999999964,7.4999999999999964,0.0001327670817297,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021423,2,16.575000000000003,-21.9875,7.849999999999996,7.849999999999996,0.0001268715536531,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
021424,2,16.575000000000003,-21.9875,8.199999999999996,8.199999999999996,0.0001214773467525,31.9875,ORDER_PICKER,OPT-C-01-04,OPT02,0.3793125,0.3793125,1.0
